attrib_name,TCGA.AB.2802,TCGA.AB.2803,TCGA.AB.2805,TCGA.AB.2806,TCGA.AB.2807,TCGA.AB.2808,TCGA.AB.2810,TCGA.AB.2811,TCGA.AB.2812,TCGA.AB.2813,TCGA.AB.2814,TCGA.AB.2815,TCGA.AB.2816,TCGA.AB.2817,TCGA.AB.2818,TCGA.AB.2819,TCGA.AB.2820,TCGA.AB.2821,TCGA.AB.2822,TCGA.AB.2823,TCGA.AB.2824,TCGA.AB.2825,TCGA.AB.2826,TCGA.AB.2828,TCGA.AB.2830,TCGA.AB.2832,TCGA.AB.2833,TCGA.AB.2834,TCGA.AB.2835,TCGA.AB.2836,TCGA.AB.2837,TCGA.AB.2838,TCGA.AB.2839,TCGA.AB.2840,TCGA.AB.2841,TCGA.AB.2842,TCGA.AB.2843,TCGA.AB.2844,TCGA.AB.2845,TCGA.AB.2846,TCGA.AB.2847,TCGA.AB.2848,TCGA.AB.2849,TCGA.AB.2851,TCGA.AB.2853,TCGA.AB.2854,TCGA.AB.2855,TCGA.AB.2856,TCGA.AB.2857,TCGA.AB.2858,TCGA.AB.2859,TCGA.AB.2860,TCGA.AB.2861,TCGA.AB.2862,TCGA.AB.2863,TCGA.AB.2865,TCGA.AB.2866,TCGA.AB.2867,TCGA.AB.2868,TCGA.AB.2869,TCGA.AB.2870,TCGA.AB.2871,TCGA.AB.2872,TCGA.AB.2873,TCGA.AB.2874,TCGA.AB.2875,TCGA.AB.2876,TCGA.AB.2877,TCGA.AB.2878,TCGA.AB.2879,TCGA.AB.2880,TCGA.AB.2881,TCGA.AB.2882,TCGA.AB.2883,TCGA.AB.2884,TCGA.AB.2885,TCGA.AB.2886,TCGA.AB.2887,TCGA.AB.2888,TCGA.AB.2889,TCGA.AB.2890,TCGA.AB.2891,TCGA.AB.2892,TCGA.AB.2893,TCGA.AB.2894,TCGA.AB.2895,TCGA.AB.2896,TCGA.AB.2897,TCGA.AB.2898,TCGA.AB.2899,TCGA.AB.2900,TCGA.AB.2901,TCGA.AB.2903,TCGA.AB.2904,TCGA.AB.2908,TCGA.AB.2909,TCGA.AB.2910,TCGA.AB.2911,TCGA.AB.2912,TCGA.AB.2913,TCGA.AB.2914,TCGA.AB.2915,TCGA.AB.2916,TCGA.AB.2917,TCGA.AB.2918,TCGA.AB.2919,TCGA.AB.2920,TCGA.AB.2921,TCGA.AB.2922,TCGA.AB.2923,TCGA.AB.2924,TCGA.AB.2925,TCGA.AB.2926,TCGA.AB.2927,TCGA.AB.2928,TCGA.AB.2929,TCGA.AB.2930,TCGA.AB.2931,TCGA.AB.2932,TCGA.AB.2933,TCGA.AB.2934,TCGA.AB.2935,TCGA.AB.2936,TCGA.AB.2937,TCGA.AB.2938,TCGA.AB.2939,TCGA.AB.2940,TCGA.AB.2941,TCGA.AB.2942,TCGA.AB.2943,TCGA.AB.2944,TCGA.AB.2945,TCGA.AB.2946,TCGA.AB.2947,TCGA.AB.2948,TCGA.AB.2949,TCGA.AB.2950,TCGA.AB.2952,TCGA.AB.2954,TCGA.AB.2955,TCGA.AB.2956,TCGA.AB.2957,TCGA.AB.2959,TCGA.AB.2963,TCGA.AB.2964,TCGA.AB.2965,TCGA.AB.2966,TCGA.AB.2967,TCGA.AB.2969,TCGA.AB.2970,TCGA.AB.2971,TCGA.AB.2972,TCGA.AB.2973,TCGA.AB.2975,TCGA.AB.2976,TCGA.AB.2977,TCGA.AB.2978,TCGA.AB.2979,TCGA.AB.2980,TCGA.AB.2981,TCGA.AB.2982,TCGA.AB.2983,TCGA.AB.2984,TCGA.AB.2985,TCGA.AB.2986,TCGA.AB.2987,TCGA.AB.2988,TCGA.AB.2989,TCGA.AB.2990,TCGA.AB.2991,TCGA.AB.2992,TCGA.AB.2993,TCGA.AB.2994,TCGA.AB.2995,TCGA.AB.2996,TCGA.AB.2997,TCGA.AB.2998,TCGA.AB.2999,TCGA.AB.3000,TCGA.AB.3001,TCGA.AB.3002,TCGA.AB.3005,TCGA.AB.3006,TCGA.AB.3007,TCGA.AB.3008,TCGA.AB.3009,TCGA.AB.3011,TCGA.AB.3012
hsa-let-7a-1,13.1738,13.3854,12.7154,12.8114,13.2307,12.5526,12.7905,12.5274,13.6029,12.841,13.5839,12.6186,13.1374,13.3187,12.9842,12.8849,13.1081,12.8559,13.3492,13.0191,13.3632,13.1098,12.8396,12.6825,13.8346,13.8108,13.0852,12.5453,13.1415,13.0108,12.7588,12.8012,13.4283,12.9978,13.5899,13.7749,12.8448,13.1473,12.406,12.5051,13.1111,13.445,12.548,13.1715,13.846,12.6566,13.1718,13.3212,12.9256,12.8055,12.8679,12.5849,13.3065,13.2623,12.6792,12.8512,13.4227,12.7033,12.6024,13.3371,12.2661,12.8802,12.9825,12.4689,13.0927,12.5872,13.1851,13.2022,12.6318,13.3691,12.2679,12.7493,12.8911,12.6344,12.5852,13.122,12.3752,12.8708,11.8931,12.5775,12.8752,12.3255,12.3675,13.3923,12.7805,13.5313,13.3338,13.2981,12.6019,12.7529,13.001,12.5068,13.6511,13.2855,13.3,12.9366,14.2984,12.4699,12.7961,13.3577,12.1191,13.0291,12.3326,12.8954,13.2393,13.5059,13.3904,13.2799,12.7563,13.0301,13.2478,12.9973,11.6417,13.3431,12.558,12.7441,13.2893,13.733,13.5713,13.1895,12.6658,12.6008,12.7619,12.4921,12.423,13.2926,12.8538,12.1405,12.4726,13.1782,13.0432,13.5273,12.3263,13.2076,13.0589,12.7239,12.4247,13.3485,12.8786,12.4298,13.9901,11.5537,12.9095,13.3121,13.0505,12.9775,12.6703,12.9151,12.8598,13.3681,13.16,11.9779,12.3185,12.9858,13.2186,12.3266,12.9363,11.0062,12.7866,13.1173,12.7496,13.5155,12.8712,13.1356,13.4941,12.7913,13.9519,12.5951,12.4518,13.116,11.8607,13.2982,12.41,13.2785,12.9345,13.7608,13.268,13.8976,12.8985,13.3455,13.3402,13.1635,13.2968,13.3568,12.6734,13.0529,13.1668,13.3387
hsa-let-7a-2,14.1291,14.4086,13.6962,13.775,14.2272,13.523,13.7676,13.5066,14.5483,13.8147,14.6213,13.6264,14.162,14.301,13.9483,13.8701,14.1279,13.8587,14.3677,14.0541,14.3501,14.0627,13.8245,13.6832,14.783,14.7788,14.1291,13.4868,14.1008,14.0043,13.7788,13.7882,14.4081,14.0207,14.6267,14.7151,13.8741,14.1502,13.3669,13.4973,14.1055,14.4395,13.5357,14.1356,14.8403,13.6496,14.1296,14.2975,13.9103,13.8392,13.9001,13.5802,14.2624,14.2906,13.664,13.8269,14.4221,13.6792,13.5866,14.3,13.2306,13.864,14.0084,13.4434,14.1239,13.5837,14.1808,14.193,13.6661,14.3471,13.3529,13.7427,13.9063,13.598,13.5862,14.095,13.3231,13.8524,12.9337,13.575,13.862,13.3689,13.3679,14.3691,13.708,14.4977,14.3591,14.407,13.5627,13.7272,13.9842,13.4194,14.6367,14.2408,14.2676,13.9203,15.2778,13.423,13.7691,14.3452,13.097,13.9881,13.2216,13.8806,14.2167,14.451,14.3713,14.2463,13.7485,13.994,14.2268,13.9495,12.6082,14.3654,13.5514,13.7143,14.2415,14.7173,14.5386,14.1853,13.611,13.5909,13.7015,13.4945,13.4059,14.2918,13.8717,13.1221,13.5621,14.1422,14.0114,14.4914,13.2791,14.1772,14.0629,13.7377,13.4157,14.3136,13.86,13.4396,14.9781,12.5297,13.8852,14.2971,14.0683,13.9704,13.6636,13.9287,13.835,14.343,14.1555,12.9318,13.2393,13.9627,14.1528,13.3088,13.9502,11.9714,13.7428,14.0984,13.803,14.5173,13.8792,14.0992,14.4791,13.815,14.9734,13.5645,13.4437,14.1162,12.8612,14.2756,13.4675,14.2823,13.896,14.7901,14.2705,14.9172,13.9214,14.3587,14.3121,14.164,14.2508,14.4069,13.6235,14.0127,14.1587,14.3945
hsa-let-7a-3,13.1835,13.3704,12.7219,12.8143,13.242,12.5716,12.7983,12.5409,13.591,12.8333,13.625,12.6883,13.1747,13.2827,12.9999,12.8613,13.1322,12.8965,13.3681,13.0234,13.3333,13.1183,12.8916,12.6847,13.787,13.7962,13.1108,12.5379,13.145,13.0374,12.7997,12.8374,13.4225,13.0222,13.6129,13.7749,12.886,13.1325,12.3889,12.4647,13.1039,13.4746,12.5156,13.1494,13.8623,12.705,13.1593,13.3011,12.9354,12.8278,12.9134,12.5862,13.3141,13.3183,12.6845,12.8437,13.4468,12.6936,12.6084,13.3355,12.2693,12.9169,12.9835,12.4929,13.0832,12.5494,13.2196,13.2226,12.6752,13.3805,12.3475,12.7234,12.8874,12.5948,12.6013,13.1304,12.3053,12.8498,11.8869,12.5936,12.8874,12.4063,12.4393,13.4119,12.7808,13.5326,13.3394,13.2814,12.5914,12.7826,12.9806,12.4515,13.6868,13.2734,13.2788,12.9127,14.3183,12.438,12.7746,13.3762,12.1011,13.012,12.2461,12.9554,13.2476,13.4885,13.3947,13.2757,12.7655,13.0388,13.2738,12.983,11.6674,13.3267,12.5806,12.7372,13.2923,13.7484,13.5816,13.2149,12.6466,12.6027,12.6773,12.5122,12.4503,13.3051,12.8697,12.1628,12.5472,13.1852,13.0486,13.4866,12.3437,13.2149,13.1058,12.7314,12.4662,13.3109,12.8936,12.4087,14.0229,11.5563,12.9092,13.3121,13.1019,12.9837,12.6612,12.9958,12.8727,13.3377,13.1698,11.9118,12.306,13.0072,13.2066,12.3001,12.9654,11.0601,12.7589,13.1222,12.7679,13.5418,12.9081,13.1471,13.4603,12.8628,13.9804,12.5871,12.5051,13.0856,11.8206,13.3051,12.3896,13.2366,13.0178,13.7517,13.2527,13.8999,12.8756,13.3117,13.339,13.2324,13.2898,13.34,12.6415,13.038,13.2009,13.3506
hsa-let-7b,15.2912,13.1248,13.7431,13.4309,14.3734,13.0109,15.3874,13.3741,15.2912,14.1568,15.5358,13.2448,15.9236,14.633,14.6299,13.9226,15.1202,14.212,13.7025,12.9821,15.5197,14.8567,14.5991,13.6067,15.7765,16.2771,15.2508,12.5253,15.3272,15.3635,15.3902,14.9798,15.6016,13.4888,13.1712,15.8809,14.6699,13.887,13.0947,11.9011,13.7234,15.9576,12.378,15.1311,15.4634,13.6331,13.832,14.7701,14.7866,13.6713,15.0909,14.5842,15.1726,13.2595,14.2425,14.5489,15.4667,12.9366,15.5179,15.5561,12.4598,14.1714,12.9749,14.2274,12.7724,13.1926,13.6823,14.6977,14.1204,15.3481,11.3156,12.9944,13.4332,14.5559,14.1234,14.5045,13.4801,13.2031,12.9525,12.0733,13.8064,12.8662,12.9737,15.1446,13.5945,15.8316,15.0137,12.8906,13.0012,14.4374,15.7203,12.9357,16.3524,14.4376,14.1978,13.5353,16.1984,13.8808,14.0964,14.7499,9.5783,13.7208,14.1513,14.2466,13.7399,14.4905,15.2183,14.9682,13.9615,14.4791,15.3416,15.3092,12.1561,14.4014,13.4476,13.9856,14.1599,15.6965,15.4546,15.4367,14.1926,13.3771,14.2103,13.4642,14.0886,13.1237,13.9933,12.959,13.0007,15.8427,14.7261,15.5733,12.8383,15.3496,13.9142,14.9595,12.9738,14.1826,14.0215,12.1976,15.4276,11.9164,14.4412,15.6673,13.3887,15.3164,13.1149,15.6559,14.8759,14.5613,15.1857,11.5678,14.7153,14.8292,15.6231,13.3541,14.6717,11.886,12.7798,14.3773,12.8082,14.983,13.7211,15.2418,15.3326,14.6619,15.0148,14.5576,14.4141,13.3483,12.7593,15.9581,12.8822,14.7883,13.975,14.6015,12.7568,13.5071,13.9857,13.1731,14.4888,15.1626,14.9228,13.522,13.4769,13.6314,15.1642,13.2683
hsa-let-7c,8.8943,6.9594,5.9068,5.6829,13.1471,9.7891,6.2931,8.4727,9.9327,8.6916,11.95,9.5616,8.3804,10.3709,8.1579,8.0479,6.6619,11.1202,13.4197,5.7213,8.2096,7.1401,6.8602,8.8521,9.9882,5.7527,7.006,9.0634,6.7502,8.4573,6.7816,10.0993,10.5639,6.4131,6.3677,7.3349,8.4653,10.6972,10.1274,10.7198,10.5361,6.1962,6.5535,8.5763,8.3521,9.4894,4.8268,9.1348,10.0701,8.3615,8.5217,9.5742,8.2525,6.6352,11.302,12.3818,6.0828,9.7478,9.881,9.3917,10.1896,10.1272,6.3247,7.1638,10.2741,5.5602,9.812,5.633,9.5535,5.9698,10.4915,9.9101,11.2382,7.3203,7.761,10.961,5.1599,10.7363,8.5989,10.6506,5.5754,10.6772,9.6599,11.507,12.9794,10.1884,10.1109,6.2559,9.6768,10.9804,8.5551,11.1825,5.9709,11.0997,12.7373,9.9536,7.3528,7.0817,7.2745,10.0971,10.6791,11.3625,6.9091,11.0233,10.2662,8.0064,10.9273,9.1513,5.5448,7.4512,8.5565,6.5572,10.0569,8.6797,12.1544,10.2718,6.2976,9.6112,7.8793,8.2456,10.5403,9.2761,10.0342,6.3918,12.963,8.8306,11.2481,7.3197,10.3988,10.4117,12.0558,9.4416,10.969,8.0096,10.3104,8.5935,7.1116,9.8179,9.3055,11.3793,6.3617,8.3856,6.9366,8.9877,10.6069,9.0807,11.3214,7.7043,6.9902,9.6737,6.3457,9.6556,6.6971,11.6989,7.7743,5.5071,10.7001,8.6251,7.5449,6.6608,7.6686,10.1562,9.8099,7.5458,10.4597,7.5654,10.0696,8.5917,6.0743,6.6959,8.9247,9.3764,5.2401,11.5889,9.9999,7.1545,5.7945,7.1422,10.8611,6.8482,12.6193,6.9722,10.4781,5.9879,11.0875,6.6393,6.2807,7.6961
hsa-let-7d,11.1296,10.2646,11.9603,12.4028,11.719,11.967,10.9729,11.4728,11.4157,11.838,11.7627,11.9622,10.9689,11.8989,10.4471,12.0019,11.2541,12.1851,12.8108,12.584,11.0402,10.9989,11.0491,11.7215,11.6475,11.7296,12.0439,12.7553,10.5314,10.7109,10.5852,12.8418,11.5195,12.3964,11.4493,12.0693,11.7228,12.4869,11.7103,11.7467,11.4833,10.046,12.042,10.7427,11.465,11.6649,11.9191,12.1508,11.8528,11.4305,10.7742,11.7912,11.0705,11.9768,12.6513,11.5733,11.5458,12.0304,11.2009,10.9253,11.9305,11.7712,11.8356,10.1769,12.4077,11.5147,12.0174,11.2948,11.7993,10.831,12.2283,11.7914,11.6615,11.2147,11.0288,11.6688,11.055,11.8733,11.2046,11.7562,11.5206,12.4358,11.6773,12.0116,11.4654,11.3337,10.6671,11.5894,11.5728,10.8381,10.8853,11.9397,10.7283,11.9344,11.3268,11.2168,11.7989,12.1955,11.1875,11.422,11.8625,11.9358,11.6012,11.1062,11.6842,12.0332,11.925,11.6898,11.6305,11.4837,11.0493,10.5107,11.5469,11.5237,12.1691,10.9613,11.6614,11.4424,11.1652,11.2727,12.4176,11.8355,11.7606,12.1184,10.8481,12.8932,11.8185,11.9093,11.6835,11.8033,12.6079,11.2179,12.5966,11.3692,11.958,11.1544,11.7563,11.9326,12.0491,11.5132,12.0284,10.8807,11.6996,11.3867,12.3943,10.4878,11.74,10.7994,10.8537,11.9643,10.4427,11.5678,10.5737,11.2638,11.2442,11.1553,11.2711,10.9167,11.9911,9.747,11.1262,12.0433,12.4411,11.963,11.7472,11.0063,10.9161,12.1587,10.8461,12.2809,12.5841,11.2333,11.7201,12.1604,12.1112,11.6655,12.3616,12.0229,11.8444,11.7115,12.3368,10.5293,11.8103,12.3048,11.6894,11.947,11.4396,11.7694
hsa-let-7e,8.7513,9.2128,9.7195,9.0939,10.3149,8.2646,9.514,7.3158,9.9889,9.4568,9.706,8.9798,8.6653,10.7443,8.6048,8.9893,9.8342,10.8035,10.3044,10.1812,9.6456,7.688,8.5213,8.8276,10.2047,9.5779,8.9488,8.9125,9.3375,9.3076,8.988,10.0361,9.6808,9.5092,9.4967,9.6611,9.9666,9.6676,7.0118,8.5785,10.2589,9.0642,10.2834,9.1307,9.0657,9.0628,11.6896,8.163,10.1831,9.0852,9.0938,10.2675,9.5108,10.5592,9.6219,10.4481,9.2276,8.717,10.6031,9.5825,8.4833,8.9839,9.4099,8.3018,9.6336,9.3071,8.1874,10.0489,9.8798,10.0958,8.5543,9.3054,10.1504,7.6875,8.7049,10.6068,8.9529,10.7574,7.1746,8.9787,9.5468,8.4893,9.7155,8.6008,8.3043,10.0286,8.8802,9.9407,10.578,9.4728,9.0411,11.6342,10.0017,8.9453,9.5989,10.1462,9.21,10.7183,9.3665,9.7185,9.0676,11.1255,7.5264,9.4853,8.7234,10.2387,10.9105,8.5114,10.1041,8.5641,8.222,8.0646,9.9281,10.2624,9.7791,10.141,7.9014,9.797,8.4573,8.6148,7.9697,9.5557,9.6196,10.1831,10.8939,10.4991,8.5397,10.9344,8.7023,9.3757,10.3837,9.2968,7.3636,8.0601,8.7483,9.3779,9.7927,9.9649,8.7395,7.9216,9.0634,8.7663,9.9667,8.7508,10.0154,8.3593,9.8088,8.8135,8.1165,9.3968,8.5357,8.5631,7.937,8.4447,8.5267,7.9596,9.8179,6.7301,9.6321,7.9792,9.2143,8.8461,9.7896,8.8829,8.9996,8.4967,8.7095,8.4582,8.2749,10.112,9.2967,8.7351,9.6896,10.3931,9.2425,9.6209,10.3196,10.4915,7.5394,9.4203,10.7239,9.0435,8.9862,9.6522,8.7958,10.1551,9.2298,10.4692
hsa-let-7f-1,5.2378,6.4006,5.7139,5.7615,6.3596,5.7383,5.4052,5.7418,5.315,5.6209,5.9508,5.9931,4.4999,6.3145,4.781,5.8765,6.0744,5.7496,6.0421,6.6277,6.1492,4.7663,5.237,5.7958,6.1716,6.8452,5.5778,5.9567,5.6811,5.4342,5.2419,6.5305,5.0811,6.0617,6.2757,6.0956,4.948,6.6841,7.3953,6.5332,6.555,5.4808,6.0455,5.7914,5.7147,6.0554,6.5391,5.041,6.0099,6.9097,5.832,5.7758,5.4371,6.9913,5.4223,5.3427,5.9713,5.8483,5.1089,5.9932,5.6177,6.0488,6.0718,5.3814,6.3686,6.6591,6.1284,5.9657,5.2676,6.2108,6.876,6.1449,5.6678,3.2962,5.675,6.8056,6.2194,7.0929,6.6374,6.0476,6.0433,6.0392,5.3171,5.5329,5.5241,5.9158,7.0223,5.7632,6.8245,5.4358,5.836,5.9456,5.4619,6.3513,5.892,5.9753,5.8311,5.405,5.3136,5.0602,5.909,5.991,4.5802,5.4907,6.6312,6.4718,5.3958,6.115,6.1194,5.2979,5.1349,5.1583,4.8221,6.1554,6.4719,6.3472,6.1393,5.967,5.3159,4.7412,5.8077,5.7514,5.7301,5.0954,5.6273,7.3994,5.835,5.629,5.0555,4.8819,6.7725,5.7933,5.6269,5.957,6.2816,6.5335,5.6502,5.9214,5.9589,5.5827,6.0854,4.6951,6.2835,5.6748,6.3254,5.1483,5.8239,4.3439,4.969,5.9506,5.2041,5.2355,4.1305,5.5882,4.6696,5.0103,4.8838,3.4995,5.8259,4.3868,7.1775,5.6913,6.0805,5.2404,4.8768,4.8434,5.5669,5.563,6.5009,6.8845,5.5529,5.4996,5.6747,5.9752,5.6966,6.7428,7.2185,7.3906,6.5247,7.1116,6.8367,5.8565,5.9404,6.0932,6.6743,7.191,6.1877,6.7447
hsa-let-7f-2,12.3431,13.6417,12.4446,12.7165,12.9213,13.1187,11.9682,13.513,12.8737,12.7142,12.9678,12.9038,11.8274,12.9823,12.2798,12.9427,12.4067,12.3451,13.4061,13.1106,12.6848,11.9999,12.1431,13.1953,12.9574,12.5153,12.167,13.0625,11.7975,11.8724,11.474,12.5182,12.1497,13.1836,14.0531,12.5653,11.9982,13.1561,12.8909,12.7903,13.0002,11.7878,13.1121,12.2729,12.5558,12.7712,12.8444,12.2641,12.5345,12.977,12.0831,12.2758,12.2978,13.3821,12.5307,12.2089,12.1427,12.7751,11.7346,12.2369,12.6835,12.6713,12.1119,11.7646,13.0403,12.7885,13.1323,12.4894,12.5882,12.2758,12.9508,12.7604,12.7489,11.8534,12.1985,12.9467,12.4741,13.009,12.3013,13.0629,12.8088,12.7731,12.7482,12.6071,12.4372,12.2676,12.9062,12.6931,12.7624,12.2444,12.2882,12.7024,11.9718,13.1239,13.285,12.8297,12.6134,12.2393,12.5643,12.6792,12.8603,12.9945,11.6829,12.7117,13.2075,13.3737,13.9757,12.4237,12.4555,12.7227,11.6084,11.7983,11.9072,13.0293,12.5741,12.4004,13.118,12.4733,12.4671,12.1521,12.1962,12.6684,12.2905,12.2881,12.1824,13.9081,13.1105,12.782,12.4956,11.8196,12.306,12.2492,12.3185,12.2715,12.852,11.9003,12.8205,14.3586,12.581,12.7887,12.7114,11.8335,12.596,12.2093,13.2895,11.9165,12.5935,11.6552,11.8213,12.8913,11.9885,12.7327,11.5175,12.6659,12.1583,12.2122,13.1591,10.9365,12.9862,13.0025,13.0773,13.0596,13.2473,12.2382,12.5809,12.1152,14.1014,12.2767,12.3367,13.2236,11.7244,11.614,12.3669,12.5434,12.7232,13.4618,13.5711,13.7748,12.8371,13.1412,13.2529,12.1804,12.6919,13.1629,12.82,13.2617,12.3385,12.7358
hsa-let-7g,11.3358,9.5399,11.5513,11.6729,12.2088,12.2485,11.062,11.9868,11.7714,11.8678,11.8819,11.7742,10.452,11.5402,11.1631,11.7231,12.071,11.4706,12.1635,11.526,11.7263,11.3925,11.5556,10.8508,12.0723,11.9512,11.1164,11.8499,11.1022,11.222,10.6049,11.7084,11.0892,11.5907,11.2895,11.5327,11.8774,12.4209,11.8345,11.6825,12.4535,10.8985,11.8574,11.1785,11.8661,12.1574,12.2203,11.6709,12.2401,12.2593,11.364,11.2506,11.4882,11.5777,10.9739,11.6955,11.5069,12.0763,12.0792,11.3664,11.4214,12.1466,11.6087,10.9061,11.7488,12.0193,11.9165,11.9233,11.3185,11.0774,12.2181,11.6839,12.275,10.9267,11.0798,11.3337,11.9586,11.8921,10.9142,11.7386,12.1094,12.2558,11.2905,11.664,11.556,11.5176,10.5337,10.5917,11.7113,11.7244,10.8278,11.4296,11.0578,11.9725,12.5862,12.049,12.4358,11.0309,11.5876,11.613,11.6557,12.6671,11.2754,11.8544,12.3655,12.6583,11.8626,12.2359,12.1646,12.2174,11.4785,10.6953,11.2393,13.081,11.8282,11.6291,12.5082,11.9214,12.3699,11.2114,11.7261,12.3147,12.2824,11.1,11.2784,13.0876,12.2346,12.0123,11.1938,12.0273,11.668,11.7682,11.967,12.0399,12.4375,11.2574,11.7279,12.1715,11.6497,11.9567,12.3139,10.8785,11.4111,11.5971,12.2348,10.7051,11.9747,10.8662,10.9647,12.2391,10.7705,11.7055,10.6613,11.1108,10.876,10.9204,11.2104,10.2978,11.3868,10.1812,11.4589,12.0573,11.9157,11.2203,11.4604,11.3687,10.8613,12.5012,11.618,11.0563,12.2814,10.6878,10.8444,11.7864,11.7814,11.8402,11.8005,12.2042,12.0789,12.2237,12.1989,11.2769,12.0216,11.4763,12.1279,12.4627,11.3447,11.7342
