sample	dim0	dim1
TCGA.AB.2803	2.4310963	3.8037086
TCGA.AB.2805	-4.882957	6.3967714
TCGA.AB.2806	9.432348	0.10586234
TCGA.AB.2807	5.6627064	1.2568226
TCGA.AB.2808	-5.954551	0.71584576
TCGA.AB.2810	0.4358851	2.435655
TCGA.AB.2811	0.018102933	-7.1363277
TCGA.AB.2812	0.3291308	-4.5160117
TCGA.AB.2813	-8.570594	5.3645263
TCGA.AB.2814	7.3610253	6.2444844
TCGA.AB.2815	2.2771685	-8.596799
TCGA.AB.2816	6.339416	6.762802
TCGA.AB.2817	-5.8761992	6.502638
TCGA.AB.2818	6.2816343	7.5124826
TCGA.AB.2819	-0.7639701	6.6720486
TCGA.AB.2820	8.089216	-0.6667477
TCGA.AB.2821	7.318524	-0.65384793
TCGA.AB.2822	7.0559316	-0.9519206
TCGA.AB.2823	4.905861	1.9784554
TCGA.AB.2824	-2.6329358	-4.167431
TCGA.AB.2825	1.2544625	-5.9088173
TCGA.AB.2826	-0.11314072	4.125521
TCGA.AB.2828	-7.943032	1.1579319
TCGA.AB.2830	7.188483	8.0858965
TCGA.AB.2832	1.992596	9.046238
TCGA.AB.2834	4.0677433	-8.454412
TCGA.AB.2835	-2.5011337	-4.550215
TCGA.AB.2836	2.7074082	-9.05202
TCGA.AB.2837	1.2152424	-5.5764937
TCGA.AB.2838	9.857293	-2.0519629
TCGA.AB.2839	-0.57964325	-1.1476493
TCGA.AB.2840	3.9298775	-10.107917
TCGA.AB.2841	2.4874356	4.1610794
TCGA.AB.2842	-8.065838	1.933502
TCGA.AB.2844	-5.9083586	0.5647467
TCGA.AB.2845	0.08015521	4.7015653
TCGA.AB.2846	1.7752043	7.099683
TCGA.AB.2848	-2.7193406	-3.9176948
TCGA.AB.2849	-7.0389533	-2.7910955
TCGA.AB.2851	6.250013	7.566815
TCGA.AB.2853	1.8550053	-10.854858
TCGA.AB.2854	0.34224293	7.566707
TCGA.AB.2855	-7.176994	-2.8953683
TCGA.AB.2856	-0.1668943	-7.9491158
TCGA.AB.2857	-6.7974725	6.4516006
TCGA.AB.2858	2.3204505	6.0675144
TCGA.AB.2860	-9.480132	7.253875
TCGA.AB.2861	8.384109	0.6006582
TCGA.AB.2862	2.4791849	3.4698195
TCGA.AB.2863	7.3523173	-0.9508864
TCGA.AB.2866	-4.946563	-0.074590616
TCGA.AB.2867	0.8788312	4.9852476
TCGA.AB.2868	8.865238	-2.9372938
TCGA.AB.2869	1.5017675	-4.5523353
TCGA.AB.2870	3.3482163	-8.930279
TCGA.AB.2871	3.4576519	-10.427977
TCGA.AB.2872	-5.0688686	1.7570701
TCGA.AB.2873	1.0933719	8.897787
TCGA.AB.2874	-4.756977	6.4915833
TCGA.AB.2875	3.7170706	-9.336192
TCGA.AB.2877	1.5140048	1.6867139
TCGA.AB.2879	1.1462286	-3.7882454
TCGA.AB.2880	4.3587146	-8.586802
TCGA.AB.2881	1.5756596	7.0287538
TCGA.AB.2882	-3.939517	8.896547
TCGA.AB.2884	1.1393949	6.1529408
TCGA.AB.2885	-6.156541	7.2599154
TCGA.AB.2886	-6.612353	0.8461109
TCGA.AB.2887	4.1645403	3.7369497
TCGA.AB.2888	-7.627127	1.0667048
TCGA.AB.2889	-7.4518847	1.6948222
TCGA.AB.2890	-6.7036734	2.1217418
TCGA.AB.2895	7.8658557	8.502207
TCGA.AB.2896	0.43761915	-2.1343246
TCGA.AB.2897	2.9681308	3.5882583
TCGA.AB.2898	5.606395	1.3413067
TCGA.AB.2899	0.25311428	5.4409127
TCGA.AB.2900	-0.45157006	-7.0779285
TCGA.AB.2901	7.255694	-1.1343154
TCGA.AB.2903	1.1807144	-3.4111729
TCGA.AB.2904	9.517643	-3.06615
TCGA.AB.2908	-8.772196	5.83424
TCGA.AB.2909	4.5454907	-8.747409
TCGA.AB.2910	6.767961	8.651377
TCGA.AB.2911	0.49041963	6.484114
TCGA.AB.2912	8.405578	-0.14235827
