,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
TCGA.AB.2803,-0.0018436164,0.4237246,0.63597846,0.341452,-0.2026726,0.31874463,-0.29147875,-0.2008062,-0.26056257,0.13393551,-0.08947474,-0.037419308,-0.12423068,0.11618447,0.11184174,-0.066525206,-0.5926198,0.04163693,0.29356682,-0.28445357,0.016660608,-0.28527302,0.16484377,0.028000545,-0.030464295,-0.07604896,0.28638166,-0.20657223,-0.76591885,-0.37999642,0.24276492,-0.21514463,-0.23012078,-0.66069484,0.622293,-0.57752454,-0.020905804,0.199545,0.13544375,0.78714085,-0.5421729,0.471821,0.18438649,-0.21348983,0.63980806,-0.2499237,-0.18482955,-0.083854556,-0.5416284,0.5743674,-0.272293,-0.32899243,0.13153845,-0.31380188,0.20451814,-0.16951483,-0.47449428,-0.3410371,0.5520582,-0.34491017,0.015418584,-0.5442957,0.20678067,0.41650435
TCGA.AB.2805,0.5238943,0.052689314,0.021148741,0.42683756,0.12195345,-0.16150558,0.4583561,0.034282357,0.44523576,0.3251555,0.411881,0.078342676,-0.30483013,-0.03525231,-0.0042467415,-0.050330248,0.02607309,0.14682153,0.2848551,0.5216354,0.20610058,0.86031973,-0.8892752,0.35759974,-0.30720034,-0.15904011,-0.51704216,0.10769613,0.19464988,0.22957718,-0.92025423,-0.132524,0.73287046,0.553666,-0.59981394,-0.34960878,-0.7785844,-1.0267608,0.9167195,-0.20051143,0.22026384,-1.9781564,0.3422711,0.57715744,-0.09698107,0.17850803,-0.32108647,-0.038667172,0.56836236,-0.50807726,0.25967726,-0.8209984,0.09073052,-0.7837025,0.35698697,0.2207147,0.09523919,0.40102082,-0.2861523,-0.17594671,-0.20948885,0.08464709,-0.788666,-0.1344912
TCGA.AB.2806,-0.07691402,0.5295799,-0.038795996,0.17186931,-0.3075843,-0.18718863,0.41625148,0.4933895,-0.25972378,-0.7599236,-0.45884693,0.1866934,-0.2796028,0.88171965,-0.09748092,0.38459823,1.7313509,0.5228849,0.07916823,0.70284873,-0.07805029,0.5156444,-0.84104764,-0.34331137,-0.21065676,-0.68799835,-0.7774542,-0.43314636,0.8582417,0.33345196,-0.68615186,-0.3133783,-1.3151613,-1.0350969,1.4465457,0.21226978,0.6565504,0.72156143,0.1436857,0.65458655,0.14238617,0.3741532,-0.68855816,-0.6037473,0.2764533,0.12254915,-0.0653002,-0.20813237,-0.6341114,0.23270094,1.4603361,1.412585,0.39474732,-0.111785814,-1.2508947,0.83897805,-0.93895113,-0.68217903,0.71462476,0.9842958,1.5003331,-0.724949,0.47618982,0.020676985
TCGA.AB.2807,-0.43198827,0.72509325,0.010821316,-0.5999868,0.5573142,0.003263032,0.5418,0.23897783,0.35140103,-0.81958413,0.5481791,-0.18078344,0.25092244,-0.058184706,0.019719064,-0.4155215,0.3366173,-0.25319907,-0.8574118,-0.23566097,-0.8187909,0.36498284,0.14937949,-0.380153,1.155279,0.37530917,0.22109348,-0.14927666,0.2686289,-0.9111937,0.29247653,1.2786493,-0.6182338,0.23544024,0.1846586,-0.39771947,0.1318844,-0.038889617,-1.2384573,0.065849125,0.18623164,-0.29155076,-0.13249806,0.10583903,-0.59222674,-0.21971667,1.1106943,0.5453272,-0.58707076,-0.6008551,0.4954764,0.43662608,-0.31461537,0.25097737,-0.08054692,0.111527875,-0.63843036,-0.0049577206,-0.21452145,-0.05674679,0.12418908,-0.56484365,-0.06535673,0.041536734
TCGA.AB.2808,0.0019582286,-0.056738965,0.13800038,0.5605914,0.046917465,-0.14758383,-0.45953605,0.23647967,-0.31186578,-0.15223634,-0.0017605945,-0.034360886,-0.064720824,-0.30047867,-0.35625476,0.15644583,0.1680716,-0.14725709,0.15448777,0.25650436,0.31056413,0.073067345,-0.49838963,0.041228052,-0.22748902,-0.13330631,-0.10265009,-0.16903132,-0.21195903,-0.022086173,0.13965249,-0.32329386,-0.030441359,0.17131405,-0.5702344,0.19115621,0.26838017,-0.039422058,0.6524779,-0.17738035,-0.13407344,0.056806542,-0.22329682,0.093721926,0.07655163,0.039840966,-0.57945776,-0.07717147,-0.053695135,0.1761765,0.113901794,-0.104144365,-0.11123857,0.021927357,-0.09212813,0.26919252,-0.09581557,-0.14276671,0.0055637956,0.20237535,-0.003828762,0.2920978,0.36724067,0.004409915
TCGA.AB.2810,0.082119696,0.51198596,0.26638287,0.5665529,0.39259344,0.21402317,-0.08516248,0.13475396,-0.0037465412,0.32667756,0.61153007,0.12941192,-0.65593034,-0.17139149,-0.22792535,-0.035555195,-0.7453884,-0.5190574,-0.23604119,-0.06521122,0.2186943,-0.14945614,-0.29058293,0.05271768,0.19720654,0.37117922,-0.32604283,0.32800925,-0.7688077,-1.141108,0.14209741,-0.11369662,-0.35421187,0.5039561,-0.07222207,-1.0687478,-0.25837046,-0.25023752,-0.19246969,0.16662017,-0.37237513,-0.4768281,-0.26765582,0.61397696,-0.0356716,-0.15866321,-0.22014521,0.012104537,-0.46724826,0.097769335,-0.05214464,-1.1665076,0.3745115,-0.15636602,0.7262567,-0.63834333,-0.63179797,0.15065223,-0.2677969,-0.5964943,-0.55721164,-0.23723048,-0.35823905,-0.25668222
TCGA.AB.2811,-0.1733011,-0.3029775,-0.3445239,-0.5512204,-0.13175794,-0.13809836,-0.24848263,-0.35033876,0.12367001,-0.009189218,-0.42762864,0.024357365,0.26810634,0.5359745,0.4861231,0.07069647,-0.29113752,0.04965515,0.09382286,-0.17003801,-0.38327056,-0.3895151,0.40222245,-0.24864331,-0.5641864,0.16352302,-0.43043983,0.2509022,0.079063445,0.076656334,-0.07795042,-0.87786615,-0.113238074,0.0076169483,0.25117752,0.10159247,-0.64965886,0.32399556,-0.18872142,-0.8001003,0.5873915,1.1162136,-0.16981792,-0.115502015,-0.046722166,0.20463952,0.2364324,-0.115100354,0.542385,-0.03094665,-0.35524726,0.33606854,0.25219494,0.18253568,-0.043409072,-0.2966215,-0.089689724,0.3454696,-0.03792753,-0.16934204,0.0066674054,0.23808828,-0.43018484,-0.7618865
TCGA.AB.2812,0.24563555,0.40448844,-0.17416005,0.1323713,0.036172654,0.06067889,-0.31161338,0.16073126,-0.16873384,0.1094936,0.068920314,0.49649733,-0.5174826,0.4011357,-0.054195777,0.36457154,0.12415673,0.1159786,0.070699036,0.10739018,0.013873149,0.05780108,-0.28298807,-0.048403114,-0.31958103,-0.10734676,-0.5255367,0.070602246,-0.17336413,-0.37893677,-0.12677792,-0.86277294,-0.42799044,-0.15017597,0.618508,-0.3095348,-0.30508307,0.30847174,0.20100963,-0.23811212,0.06340639,0.3390746,-0.34492028,-0.02440954,0.44358712,0.16528209,-0.36433548,-0.1567287,-0.3091368,0.27547997,0.53479767,0.123877384,0.42003804,-0.0807033,-0.15130071,-0.2091004,-0.40406567,0.095892996,0.22616827,0.08238348,0.207241,-0.15641105,-0.21743785,-0.27974212
TCGA.AB.2813,-0.15237722,-0.67190087,-0.34862074,-0.51935685,-0.1980942,0.23997235,0.35066664,-0.2077298,0.24428034,0.18285069,-0.0055484027,-0.14896919,0.2497578,-0.32561475,-0.18773308,-0.32078803,0.05941653,0.28742826,-0.03546486,-0.46777716,0.16101514,-0.4247311,0.8837731,0.21963258,0.63593227,0.12921828,0.9160263,0.06525616,0.4503668,0.85297704,0.21045507,1.1388443,0.45131075,-0.26390827,0.0404224,0.5235916,0.5773914,0.14967984,-0.58392084,0.48785484,-0.30602106,-0.101572126,0.4903198,-0.31630254,-0.121817246,-0.20981881,0.6146983,0.01842612,0.20383279,-0.10882295,-0.568498,-0.022513106,-0.3208093,0.13353685,-0.05408451,-0.049458124,1.0555764,-0.042562835,0.056798913,0.13891618,0.16894087,0.07614921,0.37041664,0.58586586
TCGA.AB.2814,0.18364978,0.028047279,0.20310551,0.43871024,0.12225791,-0.039748304,-0.20010102,0.19870612,-0.035177916,0.018895462,0.23541449,-0.04707961,-0.06384428,-0.43479276,-0.28285593,0.08079919,-0.030690707,-0.11704529,0.09016862,0.0033028573,0.22033823,0.2002866,-0.22480848,0.14868625,0.08821406,-0.037262373,0.04034713,-0.12047008,-0.20511144,-0.0546836,0.13672572,0.121716976,0.22776592,0.16291891,-0.54830694,-0.041003585,0.12412292,-0.22558196,0.41127402,0.020376159,-0.29000485,-0.38092342,0.048244737,0.1866994,0.08346667,0.028041098,-0.3428794,0.09908567,-0.14858714,0.08410246,0.0892283,-0.24718365,-0.19728932,-0.039904997,0.014209822,0.1582719,-0.013621986,-0.06470602,-0.109938845,0.043127567,-0.099337295,0.09769717,0.29227424,0.31280494
