Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Neural Crest Cell Differentiation (GO:0014033),4/18,2.660404294293577e-05,0.0326052137110208,0,0,28.84256559766764,303.8404891137544,FAM172A;TCOF1;WNT8A;SNAI2
GO_Biological_Process_2023,Positive Regulation Of Transferase Activity (GO:0051347),8/143,9.757756110421686e-05,0.0326052137110208,0,0,6.069444444444445,56.05048791657713,PDGFRA;CD74;NTRK2;RAD50;PARM1;IGF2;APOE;EGFR
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),17/594,0.0001038153968947058,0.0326052137110208,0,0,3.0948755102234093,28.388972011196064,CCL14;YAP1;PDGFRA;NTRK2;IGF2;OSMR;FGF1;EGFR;BMP5;TJP1;EPB41L4B;IL3;ESM1;CXCL12;FTMT;TEAD1;HBEGF
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),15/483,0.00011010229930129808,0.0326052137110208,0,0,3.3492723492723493,30.52560523088872,CCL14;YAP1;CD74;PDGFRA;NTRK2;IGF2;OSMR;FGF1;EGFR;BMP5;TJP1;IL3;ESM1;FTMT;HBEGF
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),14/434,0.00012609104961370417,0.0326052137110208,0,0,3.4731182795698925,31.183414339844003,CD74;PDGFRA;MCTP1;SEMA6D;CAMK2A;THY1;FGF1;EGFR;TJP1;CXCL12;CDH11;SNAI2;BCAR1;HBEGF
GO_Biological_Process_2023,Cell Chemotaxis (GO:0060326),5/50,0.0001398365134139565,0.0326052137110208,0,0,11.256410256410255,99.9010527744165,PDGFRA;CXCL12;PARVA;BCAR1;HBEGF
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),9/221,0.0003970370153674581,0.0573836919212443,0,0,4.353748888669367,34.09630189161081,TJP1;PDGFRA;CXCL12;SEMA6D;SNAI2;FGF1;EGFR;BCAR1;HBEGF
GO_Biological_Process_2023,Negative Regulation Of Platelet Activation (GO:0010544),3/15,0.00041017649693527065,0.0573836919212443,0,0,25.111675126903556,195.84402098106767,PDGFRA;C1QTNF1;APOE
GO_Biological_Process_2023,Stem Cell Development (GO:0048864),3/15,0.00041017649693527065,0.0573836919212443,0,0,25.111675126903556,195.84402098106767,FAM172A;TCOF1;SNAI2
GO_Biological_Process_2023,Positive Regulation Of Sprouting Angiogenesis (GO:1903672),3/15,0.00041017649693527065,0.0573836919212443,0,0,25.111675126903556,195.84402098106767,TJP1;S100A1;FGF1
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),8/179,0.0004515292543865941,0.0574263115351677,0,0,4.782894736842105,36.842018263349104,CCL14;PDGFRA;CD74;NTRK2;CCL1;APOE;FGF1;EGFR
GO_Biological_Process_2023,N-glycan Processing (GO:0006491),3/19,0.0008481701801219675,0.0815428666128835,0,0,18.82994923857868,133.17348392535672,MAN1C1;ST8SIA4;ST8SIA6
GO_Biological_Process_2023,Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),3/19,0.0008481701801219675,0.0815428666128835,0,0,18.82994923857868,133.17348392535672,IGFBP4;IGFBP3;BMP5
GO_Biological_Process_2023,Ganglioside Metabolic Process (GO:0001573),3/19,0.0008481701801219675,0.0815428666128835,0,0,18.82994923857868,133.17348392535672,GM2A;ST8SIA4;ST8SIA6
