Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,MHC Class II Protein Complex Assembly (GO:0002399),5/14,1.7260315791191134e-07,9.89016094835252e-05,0,0,56.67812142038946,882.6070530588146,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),5/14,1.7260315791191134e-07,9.89016094835252e-05,0,0,56.67812142038946,882.6070530588146,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),6/30,4.378579942682082e-07,0.0001542709600898571,0,0,25.617875647668395,375.08082653716895,CD74;HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),6/31,5.38467574484667e-07,0.0001542709600898571,0,0,24.591917098445595,354.9729755400949,CLEC4A;HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),5/18,7.151522786434082e-07,0.0001639129022650691,0,0,39.23076923076923,555.1456056385102,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),5/19,9.627398721044177e-07,0.0001838833155719437,0,0,36.42673048600884,504.63707638228885,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Cyclic-Nucleotide-Mediated Signaling (GO:0019935),6/40,2.605706622514873e-06,0.0004265913984860064,0,0,18.074062785736057,232.3928049193135,PDE2A;DEFB1;AHR;CD36;SOX9;AQP1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),5/26,5.146457101686195e-06,0.0007372299798165474,0,0,24.27589592538046,295.6124889350301,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),5/28,7.565884866743023e-06,0.0009633893396986116,0,0,22.162707306140742,261.3395694575152,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Regulation Of T Cell Activation (GO:0050863),6/62,3.480080238767509e-05,0.0039881719536275,0,0,10.961324944485566,112.52753816108236,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;PAG1;HLA-DRB1
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),5/44,7.34794656665588e-05,0.0076552243321705,0,0,13.059740946338884,124.30920387375916,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),5/47,0.00010130935378609894,0.0096750432865724,0,0,12.125061364752089,111.5182126306577,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,cAMP-mediated Signaling (GO:0019933),4/26,0.00011974879573580064,0.0105563169164021,0,0,18.44195804195804,166.5329904770276,PDE2A;DEFB1;AHR;SOX9
GO_Biological_Process_2023,Heart Morphogenesis (GO:0003007),5/59,0.0003002378552700026,0.0245766130099587,0,0,9.42487590683467,76.44456101455202,MESP1;HEY1;CHD7;TBX20;SOX9
GO_Biological_Process_2023,Substrate Adhesion-Dependent Cell Spreading (GO:0034446),4/36,0.0004365540253030516,0.0333527275331531,0,0,12.672435897435898,98.04154755477178,MICALL2;TYRO3;RADIL;SRCIN1
GO_Biological_Process_2023,cGMP-mediated Signaling (GO:0019934),3/17,0.0005952916022756877,0.0426377610129961,0,0,21.63301749271137,160.6567214496655,PDE2A;CD36;AQP1
GO_Biological_Process_2023,Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763),4/40,0.0006566220170392667,0.0442640489133529,0,0,11.262108262108262,82.53325695515768,CD74;TNFRSF11A;TMEM64;HLA-DRB1
GO_Biological_Process_2023,Mesenchyme Morphogenesis (GO:0072132),3/18,0.0007091332972159478,0.045148153256082,0,0,20.18979591836735,146.4056396816298,HEY1;TBX20;SOX9
