Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Asthma,6/31,5.38467574484667e-07,8.400094161960805e-05,0,0,24.591917098445595,354.9729755400949,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Allograft rejection,6/38,1.9053591356696485e-06,0.00014861801258223256,0,0,19.205634715025905,252.9543427845593,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Graft-versus-host disease,6/42,3.5027323599525234e-06,0.00015745209153631166,0,0,17.068221070811745,214.4104335912294,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Type I diabetes mellitus,6/43,4.037233116315684e-06,0.00015745209153631166,0,0,16.606077580170844,206.2466693966072,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Intestinal immune network for IgA production,6/48,7.797630352107475e-06,0.0002432860669857532,0,0,14.625462620281272,172.02016726641958,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Antigen processing and presentation,7/78,1.2631148849795775e-05,0.0003119506025614505,0,0,10.13130868544601,114.27452255808656,CD74;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Autoimmune thyroid disease,6/53,1.3997783448270216e-05,0.0003119506025614505,0,0,13.066255098666078,146.03645786015335,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Viral myocarditis,6/60,2.8812402627698564e-05,0.000561841851240122,0,0,11.36845135290731,118.85380084429912,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Rheumatoid arthritis,7/93,3.994868800692665e-05,0.0006498584197813852,0,0,8.357860949612403,84.64770299921177,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;TNFRSF11A;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Inflammatory bowel disease,6/65,4.561741541169148e-05,0.0006498584197813852,0,0,10.402388688855712,103.97417384630576,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Staphylococcus aureus infection,7/95,4.582335011278998e-05,0.0006498584197813852,0,0,8.167080965909092,81.59499275965995,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;DEFB1;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Hematopoietic cell lineage,7/99,5.97040447289502e-05,0.0007761525814763526,0,0,7.810405344202898,75.96486768437936,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CD36;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Th17 cell differentiation,7/107,9.78148149263119e-05,0.0011737777791157,0,0,7.18265625,66.31340343978543,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;AHR;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Leishmaniasis,6/77,0.00011862447954648292,0.0012453786102506,0,0,8.638984164051667,78.09250933052424,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Cell adhesion molecules,8/148,0.00011974794329333292,0.0012453786102506,0,0,5.882124158563949,53.11629581123741,VCAN;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;PVR;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Toxoplasmosis,7/112,0.00013033947501672258,0.001270809881413,0,0,6.838888888888889,61.176378949728026,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;GNAI1
KEGG_2021_Human,Th1 and Th2 cell differentiation,6/92,0.0003154049258057629,0.0028943040250411,0,0,7.126762260513315,57.45348625283565,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Phagosome,7/152,0.0008336302167585002,0.007224795211907,0,0,4.942241379310345,35.039110710367225,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CD36;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Tuberculosis,7/180,0.0022066778860338,0.0181179868537514,0,0,4.136440269749518,25.29957358844918,CD74;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,Systemic lupus erythematosus,6/135,0.0023377239214592,0.0182342465873819,0,0,4.740812146041692,28.722577828714712,HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",5/106,0.0041752668554479,0.0296273407325515,0,0,5.027049096662243,27.54107558523345,MMP25;MMP16;MMP15;PTH1R;GNAI1
