Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Anterior/Posterior Pattern Specification (GO:0009952),13/59,1.8252312042876794e-14,1.732144412869008e-11,0,0,29.85375494071146,944.4081519876632,WNT8A;HOXA9;HOXB9;HOXA3;HOXB4;HOXB3;HOXA7;HOXA6;NEUROG1;HOXA5;HOXB6;HOXA4;HOXB5
GO_Biological_Process_2023,Skeletal System Morphogenesis (GO:0048705),8/43,9.336391628400422e-09,4.430117827676e-06,0,0,23.529761904761905,435.0499090286752,WWOX;HOXA9;HOXB9;HOXA3;HOXB4;HOXB3;HOXA4;FGFR1
GO_Biological_Process_2023,Embryonic Skeletal System Morphogenesis (GO:0048704),6/30,4.509337880890261e-07,0.00014264538829882858,0,0,25.484536082474225,372.378647731317,HOXA9;HOXB9;HOXA3;HOXB4;HOXB3;HOXA4
GO_Biological_Process_2023,Embryonic Skeletal System Development (GO:0048706),6/34,9.879356471904303e-07,0.0002343877322959296,0,0,21.83946980854197,301.98850704121634,HOXA9;HOXB9;HOXA3;HOXB4;HOXB3;HOXA4
GO_Biological_Process_2023,Embryonic Organ Morphogenesis (GO:0048562),6/44,4.771805520344415e-06,0.00090568868776137,0,0,16.08410200759631,197.07505682737636,HOXA9;HOXB9;HOXA3;HOXB4;HOXB3;HOXA4
GO_Biological_Process_2023,L-alanine Transport (GO:0015808),3/7,3.3473033797170354e-05,0.0052943181789191,0,0,75.36548223350253,776.6239908457204,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Negative Regulation Of Myeloid Cell Differentiation (GO:0045638),4/22,6.16354107697523e-05,0.0083560006886421,0,0,22.428571428571427,217.428716911634,HOXA9;MEIS1;HOXB8;HOXA5
GO_Biological_Process_2023,Glycine Transport (GO:0015816),3/10,0.00011224655254723088,0.0128731888919063,0,0,43.059463379260336,391.61775629527256,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Regulation Of Myeloid Cell Differentiation (GO:0045637),4/26,0.00012208503690954434,0.0128731888919063,0,0,18.346938775510203,165.32046257631316,HOXA9;MEIS1;HOXB8;HOXA5
GO_Biological_Process_2023,Alanine Transport (GO:0032328),3/12,0.00020276702349047895,0.0192425905292464,0,0,33.48730964467005,284.75776049641166,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Negative Regulation Of Relaxation Of Muscle (GO:1901078),2/5,0.0009754681839454336,0.0841563005967469,0,0,66.65656565656566,462.1028413784856,PDE4B;NEUROG1
GO_Biological_Process_2023,Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor (GO:2000544),2/6,0.0014535707837741,0.1149532228168038,0,0,49.98989898989899,326.6206097208578,FGF1;FGFR1
GO_Biological_Process_2023,Proximal/Distal Pattern Formation (GO:0009954),2/7,0.0020216133697869,0.1465304134388088,0,0,39.98989898989899,248.09171029141777,HOXA9;HOXB9
GO_Biological_Process_2023,L-amino Acid Transport (GO:0015807),3/26,0.0021616710096346,0.1465304134388088,0,0,13.094460384021188,80.35905008065508,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Hematopoietic Stem Cell Differentiation (GO:0060218),2/9,0.0034202318391573,0.216386667690686,0,0,28.561327561327563,162.17255858986445,HOXB4;MLLT3
GO_Biological_Process_2023,Protein Localization To Condensed Chromosome (GO:1903083),2/10,0.0042472321345398,0.2519139559798943,0,0,24.98989898989899,136.4820277236255,IK;CHAMP1
GO_Biological_Process_2023,Regulation Of Interleukin-17 Production (GO:0032660),3/34,0.0046920695585813,0.2575796048395727,0,0,9.711314884558703,52.07091984713094,CCL1;IL12A;LY9
GO_Biological_Process_2023,Neutral Amino Acid Transport (GO:0015804),3/35,0.0050945877067937,0.2575796048395727,0,0,9.407360406091373,49.666879272481374,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Protein Localization To Kinetochore (GO:0034501),2/11,0.0051570205394645,0.2575796048395727,0,0,22.21212121212121,117.00004466783103,IK;CHAMP1
GO_Biological_Process_2023,Regulation Of Neurotransmitter Secretion (GO:0046928),3/38,0.0064242870484076,0.3048324204469443,0,0,8.599709934735316,43.40849457481817,MCTP1;CAMK2A;SNCAIP
GO_Biological_Process_2023,Amino Acid Transmembrane Transport (GO:0003333),3/42,0.0084912352718872,0.3837229653819529,0,0,7.716126513080828,36.79605293636041,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758),2/17,0.0122596808748648,0.447324507720915,0,0,13.323232323232324,58.64139939765107,MYBBP1A;DIP2A
GO_Biological_Process_2023,Proton Transmembrane Transport (GO:1902600),3/49,0.0129514996055504,0.447324507720915,0,0,6.539615978812624,28.42472661929245,SLC36A1;SLC36A3;SLC36A2
GO_Biological_Process_2023,Regulation Of Lymphocyte Proliferation (GO:0050670),2/18,0.0137022045657748,0.447324507720915,0,0,12.48989898989899,53.58414643474309,MZB1;IL12A
GO_Biological_Process_2023,Branching Involved In Ureteric Bud Morphogenesis (GO:0001658),2/18,0.0137022045657748,0.447324507720915,0,0,12.48989898989899,53.58414643474309,FGF1;HOXA11
GO_Biological_Process_2023,"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",2/18,0.0137022045657748,0.447324507720915,0,0,12.48989898989899,53.58414643474309,IK;CHAMP1
GO_Biological_Process_2023,Cellular Response To Catecholamine Stimulus (GO:0071870),2/19,0.0152144484017713,0.447324507720915,0,0,11.754604872251932,49.19901329869125,GNG2;PDE4B
