Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Activation Of HOX Genes During Differentiation R-HSA-5619507,7/91,3.583398015402861e-05,0.0187053376404029,0,0,8.512953367875648,87.14381718782342,MEIS1;HOXA3;HOXB4;HOXA2;HOXB3;HOXB2;HOXA4
Reactome_2022,FGFR1b Ligand Binding And Activation R-HSA-190370,2/6,0.0014535707837741,0.379381974565047,0,0,49.98989898989899,326.6206097208578,FGF1;FGFR1
Reactome_2022,Signaling By GPCR R-HSA-372790,15/689,0.0040315238881133,0.5895355504098886,0,0,2.300826048600529,12.685859439045556,TRPC7;WNT7B;CAMK2A;WNT8A;TRH;ABR;GNG2;LPAR6;GPR150;MCF2L;RPS6KA2;PDE4B;PCDHA4;CCL1;HBEGF
Reactome_2022,Signaling By Activated Point Mutants Of FGFR1 R-HSA-1839122,2/11,0.0051570205394645,0.5895355504098886,0,0,22.21212121212121,117.00004466783103,FGF1;FGFR1
Reactome_2022,FGFR1c Ligand Binding And Activation R-HSA-190373,2/12,0.0061478754316609,0.5895355504098886,0,0,19.98989898989899,101.78154350719132,FGF1;FGFR1
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,13/619,0.0096206057171241,0.5895355504098886,0,0,2.20188489437179,10.225218877299609,TRPC7;CAMK2A;TRH;ABR;GNG2;LPAR6;GPR150;MCF2L;RPS6KA2;PDE4B;PCDHA4;CCL1;HBEGF
Reactome_2022,Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219,2/16,0.0108884250018907,0.5895355504098886,0,0,14.275613275613276,64.52655688502057,FGF1;FGFR1
Reactome_2022,FGFR1 Ligand Binding And Activation R-HSA-190242,2/16,0.0108884250018907,0.5895355504098886,0,0,14.275613275613276,64.52655688502057,FGF1;FGFR1
Reactome_2022,Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907,2/17,0.0122596808748648,0.5895355504098886,0,0,13.323232323232324,58.64139939765107,RPS6KA2;HBEGF
Reactome_2022,RHOA GTPase Cycle R-HSA-8980692,5/147,0.0162263133118003,0.5895355504098886,0,0,3.549656915854099,14.628565928322413,ARHGAP22;ABR;MCAM;MCF2L;ARAP3
Reactome_2022,SHC-mediated cascade:FGFR1 R-HSA-5654688,2/20,0.0167948882548689,0.5895355504098886,0,0,11.1010101010101,45.36628383483138,FGF1;FGFR1
Reactome_2022,Signal Transduction By L1 R-HSA-445144,2/20,0.0167948882548689,0.5895355504098886,0,0,11.1010101010101,45.36628383483138,NRP1;FGFR1
Reactome_2022,L1CAM Interactions R-HSA-373760,4/99,0.0174833410127952,0.5895355504098886,0,0,4.233082706766917,17.129197930647717,NRP1;NRP2;RPS6KA2;FGFR1
Reactome_2022,PI-3K cascade:FGFR1 R-HSA-5654689,2/21,0.0184420232483939,0.5895355504098886,0,0,10.516214779372676,41.9925427496273,FGF1;FGFR1
Reactome_2022,G Alpha (Q) Signaling Events R-HSA-416476,6/212,0.0200351040758592,0.5895355504098886,0,0,2.941747572815534,11.503025340603914,TRPC7;GNG2;LPAR6;RPS6KA2;TRH;HBEGF
Reactome_2022,FRS-mediated FGFR1 Signaling R-HSA-5654693,2/22,0.0201543754357544,0.5895355504098886,0,0,9.98989898989899,39.00390099361183,FGF1;FGFR1
